"","record_number","in_ref_id","individual_id","predator","predator_common_name","predator_taxon","predator_lifestage","type_of_feeding_interaction","predator_length","predator_length_unit","predator_dimension_measured","predator_standard_length","predator_fork_length","predator_total_length","predator_tl_fl_sl_conversion_reference","standardised_predator_length","predator_measurement_type","predator_length_mass_conversion_method","predator_length_mass_conversion_reference","predator_quality_of_length_mass_conversion","predator_mass","predator_mass_unit","predator_mass_check","predator_mass_check_diff","predator_ratio_mass_mass","si_predator_mass","diet_coverage","prey","prey_common_name","prey_taxon","prey_length","prey_length_unit","prey_conversion_to_length_method","prey_quality_of_conversion_to_length","prey_conversion_to_length_reference","si_prey_length","prey_dimension_measured","prey_width","prey_width_unit","prey_measurement_type","prey_mass","prey_mass_unit","prey_mass_check","prey_mass_check_diff","prey_ratio_mass_mass","si_prey_mass","prey_conversion_to_mass_method","prey_conversion_to_mass_reference","prey_quality_of_conversion_to_mass","geographic_location","latitude","lonitude","depth","mean_annual_temp","sd_annual_temp","mean_pp","sd_pp","reference","specific_habitat","notes_assumptions"
"376",375,"88011",197,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",276,"cm","curved fork length",261.65,276,296.7,"Fishbase (species)",276,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,335150,"g",1100300,765140,3.283,335150,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",25,"cm","",0,"",25,"total length",NA,"","individual",144.71,"g",817.71,673,5.6507,144.71,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"377",376,"88011",197,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",276,"cm","curved fork length",261.65,276,296.7,"Fishbase (species)",276,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,335150,"g",1100300,765140,3.283,335150,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",25,"cm","",0,"",25,"total length",NA,"","individual",144.71,"g",817.71,673,5.6507,144.71,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"378",377,"88011",197,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",276,"cm","curved fork length",261.65,276,296.7,"Fishbase (species)",276,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,335150,"g",1100300,765140,3.283,335150,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",25,"cm","",0,"",25,"total length",NA,"","individual",144.71,"g",817.71,673,5.6507,144.71,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"379",378,"88011",197,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",276,"cm","curved fork length",261.65,276,296.7,"Fishbase (species)",276,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,335150,"g",1100300,765140,3.283,335150,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",25,"cm","",0,"",25,"total length",NA,"","individual",144.71,"g",817.71,673,5.6507,144.71,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"380",379,"88011",197,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",276,"cm","curved fork length",261.65,276,296.7,"Fishbase (species)",276,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,335150,"g",1100300,765140,3.283,335150,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",26,"cm","",0,"",26,"total length",NA,"","individual",164.01,"g",919.81,755.81,5.6084,164.01,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"383",382,"88021",200,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",163,"cm","curved fork length",154.52,163,175.23,"Fishbase (species)",163,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,71478,"g",226640,155160,3.1708,71478,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",22,"cm","",0,"",22,"total length",NA,"","individual",96.23,"g",557.25,461.01,5.7907,96.23,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"384",383,"88021",200,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",163,"cm","curved fork length",154.52,163,175.23,"Fishbase (species)",163,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,71478,"g",226640,155160,3.1708,71478,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",24,"cm","",0,"",24,"total length",NA,"","individual",127.03,"g",723.46,596.42,5.6951,127.03,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"385",384,"88095",201,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",150,"cm","curved fork length",142.2,150,161.25,"Fishbase (species)",150,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,56010,"g",176630,120620,3.1535,56010,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",21,"cm","",0,"",21,"total length",NA,"","individual",82.953,"g",484.66,401.71,5.8426,82.953,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"386",385,"88095",201,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",150,"cm","curved fork length",142.2,150,161.25,"Fishbase (species)",150,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,56010,"g",176630,120620,3.1535,56010,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",22,"cm","",0,"",22,"total length",NA,"","individual",96.23,"g",557.25,461.01,5.7907,96.23,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
"387",386,"88095",201,"Thunnus thynnus","Atlantic bluefin tuna","ectotherm vertebrate","adult","piscivorous",150,"cm","curved fork length",142.2,150,161.25,"Fishbase (species)",150,"individual","M=0.0231FL^2.934","Hsu et al. (2000)",1,56010,"g",176630,120620,3.1535,56010,"all","Clupea harengus","Atlantic herring","ectotherm vertebrate",23,"cm","",0,"",23,"total length",NA,"","individual",110.9,"g",636.74,525.84,5.7417,110.9,"M=0.0050*L^3.1915","Coull et al. (1989)",1,"Jeffreys Ledge, Gulf of Maine, New England","4280'N","7010'W",108,10.6,5.6,1076,110,"Chase, B.C. (2002)","Shelf",""
